frame,max_load,min_load,avg_load,stddev_load,imbalance
250,374.00,0.00,112.75,154.0736,2.3171
251,373.00,0.00,112.50,153.6498,2.3156
252,371.00,0.00,112.75,152.6358,2.2905
253,369.00,0.00,112.75,151.6861,2.2727
254,368.00,0.00,118.50,147.0043,2.1055
255,367.00,0.00,118.25,146.6772,2.1036
256,367.00,0.00,118.00,146.7396,2.1102
257,367.00,0.00,112.00,150.8923,2.2768
258,366.00,0.00,112.25,150.3702,2.2606
259,365.00,0.00,112.75,149.8088,2.2373
260,364.00,0.00,112.00,149.4791,2.2500
261,363.00,0.00,112.25,148.9671,2.2339
262,363.00,0.00,112.00,149.0117,2.2411
263,362.00,0.00,112.25,148.5032,2.2249
264,362.00,0.00,112.00,148.5463,2.2321
265,361.00,0.00,112.25,148.0412,2.2160
266,361.00,0.00,112.00,148.0827,2.2232
267,361.00,0.00,112.50,148.0008,2.2089
268,359.00,0.00,112.75,147.0499,2.1840
269,358.00,0.00,112.50,146.6313,2.1822
270,358.00,0.00,112.25,146.6669,2.1893
271,357.00,0.00,112.50,146.1788,2.1733
272,357.00,0.00,112.25,146.2128,2.1804
273,356.00,0.00,112.50,145.7283,2.1644
274,355.00,0.00,112.50,145.2799,2.1556
275,353.00,0.00,112.75,144.3630,2.1308
276,353.00,0.00,112.25,144.4167,2.1448
277,353.00,0.00,112.25,144.4167,2.1448
278,355.00,0.00,112.50,145.2799,2.1556
279,352.00,0.00,112.75,143.9225,2.1220
280,351.00,0.00,112.50,143.5070,2.1200
281,349.00,0.00,113.25,142.5787,2.0817
282,349.00,0.00,112.50,142.6333,2.1022
283,349.00,0.00,112.50,142.6333,2.1022
284,349.00,0.00,112.50,142.6333,2.1022
285,349.00,0.00,112.50,142.6333,2.1022
286,349.00,0.00,112.50,142.6333,2.1022
287,349.00,0.00,113.00,142.5956,2.0885
288,349.00,0.00,112.75,142.6138,2.0953
289,348.00,0.00,113.00,142.1654,2.0796
290,347.00,0.00,113.00,141.7374,2.0708
291,347.00,0.00,118.25,137.6379,1.9345
292,347.00,0.00,118.25,137.6379,1.9345
293,347.00,0.00,118.50,137.3181,1.9283
294,346.00,0.00,112.75,141.3248,2.0687
295,343.00,0.00,113.25,140.0417,2.0287
296,342.00,0.00,118.50,135.2821,1.8861
297,340.00,0.00,118.75,134.4124,1.8632
298,339.00,0.00,112.75,138.3968,2.0067
299,339.00,23.00,125.00,128.4523,1.7120
