frame,thread_id,particles_processed,time_spent_ms,migrations_sent,migrations_received,insertions,removals,subdivisions,merges
49,1,0,0.000,0,0,0,0,0,0
49,2,24,0.200,0,0,24,0,0,0
49,3,27,0.177,0,0,27,0,0,0
50,0,429,0.110,0,0,429,0,0,0
50,1,0,0.000,0,0,0,0,0,0
50,2,24,0.112,0,0,24,0,0,0
50,3,27,0.105,0,0,27,0,0,0
51,0,0,0.000,0,0,0,0,0,0
51,1,0,0.000,0,0,0,0,0,0
51,2,0,0.000,1,0,0,0,0,0
51,3,0,0.000,0,0,0,0,0,0
52,0,0,0.000,0,0,0,0,0,0
52,1,0,0.000,0,0,0,0,0,0
52,2,0,0.000,0,0,0,0,0,0
52,3,0,0.000,0,0,0,0,0,0
53,0,0,0.000,0,0,0,0,0,0
53,1,0,0.000,0,0,0,0,0,0
53,2,0,0.000,0,0,0,0,0,0
53,3,0,0.000,0,0,0,0,0,0
54,0,0,0.000,0,0,0,0,0,0
54,1,0,0.000,0,0,0,0,0,0
54,2,0,0.000,0,0,0,0,0,0
54,3,0,0.000,0,0,0,0,0,0
55,0,429,0.123,0,0,429,0,0,0
55,1,0,0.000,0,0,0,0,0,0
55,2,0,0.000,0,0,0,0,0,0
55,3,0,0.000,0,0,0,0,0,0
56,0,429,0.118,0,0,429,0,0,0
56,1,0,0.000,0,0,0,0,0,0
56,2,0,0.000,0,0,0,0,0,0
56,3,27,0.122,0,0,27,0,0,0
57,0,0,0.000,0,0,0,0,0,0
57,1,0,0.000,0,0,0,0,0,0
57,2,0,0.000,0,0,0,0,0,0
57,3,0,0.000,1,0,0,0,0,0
58,0,429,0.116,0,0,429,0,0,0
58,1,0,0.000,0,0,0,0,0,0
58,2,0,0.000,0,0,0,0,0,0
58,3,0,0.000,0,0,0,0,0,0
59,0,0,0.000,0,0,0,0,0,0
59,1,0,0.000,0,0,0,0,0,0
59,2,0,0.000,0,0,0,0,0,0
59,3,26,0.168,0,0,26,0,0,0
60,0,429,0.111,0,0,429,0,0,0
60,1,0,0.000,0,0,0,0,0,0
60,2,0,0.000,0,0,0,0,0,0
60,3,26,0.103,0,0,26,0,0,0
61,0,429,0.103,0,0,429,0,0,0
61,1,0,0.000,0,0,0,0,0,0
61,2,0,0.000,0,0,0,0,0,0
61,3,26,0.105,0,0,26,0,0,0
62,0,429,0.105,0,0,429,0,0,0
62,1,0,0.000,0,0,0,0,0,0
62,2,0,0.000,0,0,0,0,0,0
62,3,26,0.105,0,0,26,0,0,0
63,0,429,0.102,0,0,429,0,0,0
63,1,0,0.000,0,0,0,0,0,0
63,2,0,0.000,0,0,0,0,0,0
63,3,26,0.101,0,0,26,0,0,0
64,0,429,0.166,0,0,429,0,0,0
64,1,0,0.000,0,0,0,0,0,0
64,2,0,0.000,0,0,0,0,0,0
64,3,0,0.000,0,0,0,0,0,0
65,0,429,0.103,0,0,429,0,0,0
65,1,0,0.000,0,0,0,0,0,0
65,2,0,0.000,0,0,0,0,0,0
65,3,26,0.106,0,0,26,0,0,0
66,0,0,0.000,0,0,0,0,0,0
66,1,0,0.000,0,0,0,0,0,0
66,2,0,0.000,0,0,0,0,0,0
66,3,0,0.000,0,0,0,0,0,0
67,0,429,0.116,0,0,429,0,0,0
67,1,0,0.000,0,0,0,0,0,0
67,2,0,0.000,0,0,0,0,0,0
67,3,0,0.000,0,0,0,0,0,0
68,0,429,0.106,0,0,429,0,0,0
68,1,0,0.000,0,0,0,0,0,0
68,2,0,0.000,0,0,0,0,0,0
68,3,26,0.117,0,0,26,0,0,0
69,0,0,0.000,0,0,0,0,0,0
69,1,0,0.000,0,0,0,0,0,0
69,2,0,0.000,0,0,0,0,0,0
69,3,0,0.000,0,0,0,0,0,0
70,0,429,0.110,0,0,429,0,0,0
70,1,0,0.000,0,0,0,0,0,0
70,2,0,0.000,0,0,0,0,0,0
70,3,26,0.114,0,0,26,0,0,0
71,0,0,0.000,0,0,0,0,0,0
71,1,0,0.000,0,0,0,0,0,0
71,2,0,0.000,1,0,0,0,0,0
71,3,0,0.000,0,0,0,0,0,0
72,0,0,0.000,0,0,0,0,0,0
72,1,0,0.000,0,0,0,0,0,0
72,2,0,0.000,0,0,0,0,0,0
72,3,0,0.000,0,0,0,0,0,0
73,0,0,0.000,0,0,0,0,0,0
73,1,0,0.000,0,0,0,0,0,0
73,2,0,0.000,0,0,0,0,0,0
73,3,0,0.000,0,0,0,0,0,0
74,0,0,0.000,0,0,0,0,0,0
74,1,0,0.000,0,0,0,0,0,0
74,2,0,0.000,0,0,0,0,0,0
74,3,0,0.000,1,0,0,0,0,0
75,0,0,0.000,0,0,0,0,0,0
75,1,0,0.000,0,0,0,0,0,0
75,2,0,0.000,0,0,0,0,0,0
75,3,0,0.000,0,0,0,0,0,0
76,0,0,0.000,0,0,0,0,0,0
76,1,0,0.000,0,0,0,0,0,0
76,2,0,0.000,0,0,0,0,0,0
76,3,0,0.000,0,0,0,0,0,0
77,0,429,0.111,0,0,429,0,0,0
77,1,0,0.000,0,0,0,0,0,0
77,2,0,0.000,0,0,0,0,0,0
77,3,26,0.115,0,0,26,0,0,0
78,0,0,0.000,0,0,0,0,0,0
78,1,0,0.000,0,0,0,0,0,0
78,2,0,0.000,0,0,0,0,0,0
78,3,0,0.000,0,0,0,0,0,0
79,0,429,0.174,0,0,429,0,0,0
79,1,21,0.177,0,0,21,0,0,0
79,2,0,0.000,0,0,0,0,0,0
79,3,26,0.182,0,0,26,0,0,0
80,0,429,0.945,0,0,429,0,0,0
80,1,21,0.133,0,0,21,0,0,0
80,2,0,0.000,0,0,0,0,0,0
80,3,0,0.000,0,0,0,0,0,0
81,0,429,0.138,0,0,429,0,0,0
81,1,21,0.124,0,0,21,0,0,0
81,2,24,0.145,0,0,24,0,0,0
81,3,0,0.000,0,0,0,0,0,0
82,0,0,0.000,0,0,0,0,0,0
82,1,0,0.000,0,0,0,0,0,0
82,2,0,0.000,0,0,0,0,0,0
82,3,0,0.000,0,0,0,0,0,0
83,0,430,0.134,0,0,430,0,0,0
83,1,0,0.000,0,0,0,0,0,0
83,2,24,0.144,0,0,24,0,0,0
83,3,0,0.000,0,0,0,0,0,0
84,0,0,0.000,0,0,0,0,0,0
84,1,0,0.000,0,0,0,0,0,0
84,2,0,0.000,0,0,0,0,0,0
84,3,0,0.000,0,0,0,0,0,0
85,0,430,0.150,0,0,430,0,0,0
85,1,0,0.000,0,0,0,0,0,0
85,2,0,0.000,0,0,0,0,0,0
85,3,0,0.000,0,0,0,0,0,0
86,0,430,0.293,0,0,430,0,0,0
86,1,0,0.000,0,0,0,0,0,0
86,2,0,0.000,0,0,0,0,0,0
86,3,0,0.000,0,0,0,0,0,0
87,0,429,0.110,1,0,429,0,0,0
87,1,22,0.128,0,1,22,0,0,0
87,2,24,0.130,0,0,24,0,0,0
87,3,0,0.000,0,0,0,0,0,0
88,0,0,0.000,0,0,0,0,0,0
88,1,21,0.202,0,0,21,0,0,0
88,2,24,0.215,0,0,24,0,0,0
88,3,0,0.000,0,0,0,0,0,0
89,0,429,0.171,0,0,429,0,0,0
89,1,21,0.154,0,0,21,0,0,0
89,2,24,0.163,0,0,24,0,0,0
89,3,26,0.171,0,0,26,0,0,0
90,0,429,0.129,0,0,429,0,0,0
90,1,21,0.137,0,0,21,0,0,0
90,2,26,0.141,0,1,26,0,0,0
90,3,25,0.135,1,0,25,0,0,0
91,0,429,0.128,0,0,429,0,0,0
91,1,0,0.000,0,0,0,0,0,0
91,2,0,0.000,0,0,0,0,0,0
91,3,0,0.000,0,0,0,0,0,0
92,0,429,0.108,0,0,429,0,0,0
92,1,0,0.000,0,0,0,0,0,0
92,2,25,0.118,0,0,25,0,0,0
92,3,0,0.000,0,0,0,0,0,0
93,0,429,0.203,0,0,429,0,0,0
93,1,0,0.000,0,0,0,0,0,0
93,2,0,0.000,0,0,0,0,0,0
93,3,0,0.000,0,0,0,0,0,0
94,0,429,0.114,0,0,429,0,0,0
94,1,0,0.000,0,0,0,0,0,0
94,2,25,0.124,0,0,25,0,0,0
94,3,0,0.000,0,0,0,0,0,0
95,0,429,0.103,0,0,429,0,0,0
95,1,0,0.000,0,0,0,0,0,0
95,2,25,0.106,0,0,25,0,0,0
95,3,0,0.000,0,0,0,0,0,0
96,0,429,0.105,0,0,429,0,0,0
96,1,0,0.000,0,0,0,0,0,0
96,2,25,0.106,0,0,25,0,0,0
96,3,0,0.000,0,0,0,0,0,0
97,0,429,0.102,0,0,429,0,0,0
97,1,0,0.000,1,0,0,0,0,0
97,2,25,0.102,0,0,25,0,0,0
97,3,0,0.000,0,0,0,0,0,0
98,0,431,0.185,0,1,431,0,0,0
98,1,0,0.000,1,0,0,0,0,0
98,2,25,0.196,0,0,25,0,0,0
98,3,25,0.198,0,0,25,0,0,0
99,0,430,0.188,0,0,430,0,0,0
99,1,0,0.000,0,0,0,0,0,0
99,2,27,0.360,0,1,27,0,0,0
99,3,25,0.182,0,0,25,0,0,0
100,0,430,0.286,0,0,430,0,0,0
100,1,0,0.000,0,0,0,0,0,0
100,2,26,0.286,0,0,26,0,0,0
100,3,25,0.284,0,0,25,0,0,0
101,0,430,0.227,0,0,430,0,0,0
101,1,19,0.246,0,0,19,0,0,0
101,2,26,0.224,0,0,26,0,0,0
101,3,25,0.221,0,0,25,0,0,0
102,0,430,0.118,0,0,430,0,0,0
102,1,19,0.111,0,0,19,0,0,0
102,2,25,0.122,1,0,25,0,0,0
102,3,27,0.113,0,1,27,0,0,0
103,0,430,0.169,0,0,430,0,0,0
103,1,19,0.162,0,0,19,0,0,0
103,2,25,0.189,0,0,25,0,0,0
103,3,26,0.166,0,0,26,0,0,0
104,0,430,0.107,0,0,430,0,0,0
104,1,19,0.108,0,0,19,0,0,0
104,2,25,0.121,0,0,25,0,0,0
104,3,26,0.119,0,0,26,0,0,0
105,0,430,0.115,0,0,430,0,0,0
105,1,19,0.110,0,0,19,0,0,0
105,2,25,0.121,0,0,25,0,0,0
105,3,26,0.106,0,0,26,0,0,0
106,0,430,0.104,0,0,430,0,0,0
106,1,0,0.000,0,0,0,0,0,0
106,2,0,0.000,1,0,0,0,0,0
106,3,0,0.000,0,0,0,0,0,0
107,0,430,0.196,0,0,430,0,0,0
107,1,0,0.000,0,0,0,0,0,0
107,2,25,0.208,1,0,25,0,0,0
